EMP ID,NAME,DEPARTMENT,MONTH,ATTENDANCE,STATUS,LEAVE TYPE,KPI SCORE,SATISFACTION
EMP-1967,Employee 967,Sales,April,87%,Reserved,None,80 / 100,3 ★
EMP-1968,Employee 968,HR,June,93%,Reserved,None,89 / 100,5 ★
EMP-1969,Employee 969,HR,July,74%,Reserved,Sick Leave,64 / 100,4 ★
EMP-1970,Employee 970,Engineering,February,78%,Reserved,Special Leave,70 / 100,3 ★
EMP-1971,Employee 971,Marketing,August,88%,Reserved,None,87 / 100,5 ★
EMP-1972,Employee 972,Legal,September,87%,In Stock,None,78 / 100,3 ★
EMP-1973,Employee 973,Sales,April,98%,In Stock,None,94 / 100,5 ★
EMP-1974,Employee 974,Sales,December,82%,In Stock,Sick Leave,75 / 100,5 ★
EMP-1975,Employee 975,Finance,December,89%,Reserved,Casual Leave,88 / 100,5 ★
EMP-1976,Employee 976,Administration,March,88%,Reserved,Casual Leave,85 / 100,4 ★
EMP-1977,Employee 977,Customer Support,January,84%,Reserved,Casual Leave,72 / 100,4 ★
EMP-1978,Employee 978,Engineering,December,87%,Reserved,Casual Leave,88 / 100,5 ★
EMP-1979,Employee 979,Legal,November,92%,In Stock,Casual Leave,95 / 100,5 ★
EMP-1980,Employee 980,Marketing,January,73%,On Leave,Special Leave,79 / 100,2 ★
EMP-1981,Employee 981,R&D,September,79%,Reserved,Sick Leave,73 / 100,4 ★
EMP-1982,Employee 982,Operations,July,98%,In Stock,None,95 / 100,5 ★
EMP-1983,Employee 983,IT,December,82%,In Stock,Sick Leave,72 / 100,5 ★
EMP-1984,Employee 984,Customer Support,June,93%,In Stock,Casual Leave,87 / 100,5 ★
EMP-1985,Employee 985,Sales,November,80%,In Stock,None,83 / 100,4 ★
EMP-1986,Employee 986,Legal,April,89%,Reserved,Casual Leave,76 / 100,3 ★
EMP-1987,Employee 987,IT,January,79%,Reserved,Sick Leave,72 / 100,3 ★
EMP-1988,Employee 988,Sales,April,97%,In Stock,None,98 / 100,5 ★
EMP-1989,Employee 989,HR,February,95%,Reserved,Casual Leave,88 / 100,5 ★
EMP-1990,Employee 990,HR,April,88%,Reserved,Casual Leave,78 / 100,5 ★
EMP-1991,Employee 991,R&D,January,87%,Reserved,Sick Leave,83 / 100,4 ★
EMP-1992,Employee 992,IT,September,77%,Reserved,Special Leave,79 / 100,3 ★
EMP-1993,Employee 993,Marketing,June,95%,Reserved,Casual Leave,95 / 100,4 ★
EMP-1994,Employee 994,Engineering,January,70%,On Leave,Special Leave,71 / 100,4 ★
EMP-1995,Employee 995,R&D,July,76%,Reserved,Vacation,71 / 100,2 ★
EMP-1996,Employee 996,Engineering,July,72%,On Leave,Sick Leave,68 / 100,3 ★
EMP-1997,Employee 997,Sales,February,81%,Reserved,None,86 / 100,4 ★
EMP-1998,Employee 998,Engineering,August,78%,Reserved,Sick Leave,72 / 100,2 ★
EMP-1999,Employee 999,Engineering,March,91%,Reserved,None,80 / 100,5 ★
EMP-2000,Employee 1000,R&D,June,81%,Reserved,Sick Leave,70 / 100,3 ★
